tt4633694	2018	美國	8.5	8.7	蜘蛛人：新宇宙	Spider-Man：Into the Spider-Verse	蜘蛛俠：平行宇宙／Spider-Man: a New Universe／蜘蛛俠：平行世界／蜘蛛俠：新紀元／蜘蛛俠：跳入蜘蛛宇宙(港)	動作|科幻|動畫|冒險	tt4633694	db_26374197	Movie\2018\[2018][美]蜘蛛人：新宇宙 Spider-Man：Into the Spider-Verse(動作_科幻_動畫_冒險)(8.5)(tt4633694)
tt5758778	2018	美國	5.8	6.3	摩天大樓	Skyscraper	摩天營救／高凶浩劫(港)／高聳入雲	動作|驚悚|冒險	tt5758778	db_26804147	Movie\2018\[2018][美]摩天大樓 Skyscraper(動作_驚悚_冒險)(5.8)(tt5758778)
tt7959026	2018	美國	7.1	8.1	賭命運轉手	The Mule	騾子／毒行俠(港)／走私運毒者	劇情|懸疑|驚悚|犯罪	tt7959026	db_30135113	Movie\2018\[2018][美]賭命運轉手 The Mule(劇情_懸疑_驚悚_犯罪)(7.1)(tt7959026)
tt6644200	2018	美國	7.6	6.3	噤界	A Quiet Place	寂靜之地／無聲絕境(港)／靜地	驚悚|恐怖	tt6644200	db_26997663	Movie\2018\[2018][美]噤界 A Quiet Place(驚悚_恐怖)(7.6)(tt6644200)
tt5095030	2018	美國	7.1	7.3	蟻人2：黃蜂女現身	Ant-Man and the Wasp	Ant-Man 2／蟻人2／蟻人與黃蜂女／蟻俠2：黃蜂女現身(港)	動作|科幻|冒險	tt5095030	db_26636712	Movie\2018\[2018][美]蟻人2：黃蜂女現身 Ant-Man and the Wasp(動作_科幻_冒險)(7.1)(tt5095030)
tt2404639	2018	英國	6.3	7.2	快樂王子	The Happy Prince		劇情|同性|傳記	tt2404639	db_11524958	Movie\2018\[2018][英]快樂王子 The Happy Prince(劇情_同性_傳記)(6.3)(tt2404639)
tt6911608	2018	英國	6.8	7.0	媽媽咪呀！回來了	Mamma Mia! Here We Go Again	媽媽咪呀2／媽媽咪呀2：再次出發／媽媽咪呀！2／媽媽咪呀！開心再嚟(港)／媽媽咪呀：重蹈覆轍	喜劇|愛情|歌舞	tt6911608	db_27050259	Movie\2018\[2018][英]媽媽咪呀！回來了 Mamma Mia! Here We Go Again(喜劇_愛情_歌舞)(6.8)(tt6911608)
tt7762748	2018	香港	6.0	6.8	翠絲	Tracey	翠絲	劇情|同性	tt7762748	db_27601006	Movie\2018\[2018][港]翠絲 Tracey(劇情_同性)(6.0)(tt7762748)
tt6523720	2018	挪威	6.2	5.4	芮氏9.6	Skjelvet	大地震／The Quake／八級大地震：命懸一劫(港)	劇情|災難	tt6523720	db_27055837	Movie\2018\[2018][挪威]芮氏9.6 Skjelvet(劇情_災難)(6.2)(tt6523720)
tt3208026	2018	愛爾蘭	6.9	7.1	黑色1847	Black 47	The Ranger	劇情	tt3208026	db_26935499	Movie\2018\[2018][愛]黑色1847 Black 47(劇情)(6.9)(tt3208026)
tt9283056	2018	臺灣	4.6	5.6	人面魚：紅衣小女孩外傳	The Devil Fish	人面魚：紅衣小女孩外傳／紅衣小女孩3	恐怖	tt9283056	db_27621494	Movie\2018\[2018][台]人面魚：紅衣小女孩外傳 The Devil Fish(恐怖)(4.6)(tt9283056)
tt7125774	2018	德國	7.7	8.4	奇蹟熱氣球	Ballon	氣球／Balloon／Der Ballon	劇情|驚悚|歷史	tt7125774	db_30192401	Movie\2018\[2018][德]奇蹟熱氣球 Ballon(劇情_驚悚_歷史)(7.7)(tt7125774)
tt8267604	2018	黎巴嫩	8.4	8.8	我想有個家	Cafarnaúm	何以為家／كفرناحوم／Capernaum／Capharnaüm／星仔打官司(港)／迦百農	劇情	tt8267604	db_30170448	Movie\2018\[2018][黎巴嫩]我想有個家 Cafarnaúm(劇情)(8.4)(tt8267604)
tt6083230	2018	韓國	6.9	7.3	小森林	Little Forest	리틀 포레스트	劇情	tt6083230	db_26877492	Movie\2018\[2018][韓]小森林 Little Forest(劇情)(6.9)(tt6083230)
